mol solvent,mol solute,target Gsolv kcal
CCI,CC2Cc1ccccc1CC2,-7.95540296
Cc1nc(C)ccc1,FC(F)(F)CC(F)C(F)(F)F,-2.67388766
CCOP(OCC)(OCC)=O,CC(=O)NC(=O)NC(C)=O,-13.01591568
OCCCO,O=C(C2(C3)CC(CC1C2)CC3C1)N,-12.02992895
C(CCc1cc2)Cc1cc2,N1CCCCC1,-4.57078247
CCC#N,O=C2NC(c1ccccc21)=O,-11.03331636
CN(C)C=O,Cc2cnc1ccccc1c2C,-9.600014300000002
N1CCCCC1,C=CCc1ccccc1,-6.27751694
O=N(c1ccccc1)=O,CCC(C)CCl,-4.49909485
CCOC(C)(C)C,CCOC(C)C,-3.79951998
CCN(CC)C(C)=O,ClCC=C,-3.86522332
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,FC(F)(F)CC(F)(F)O,-2.51285701
ClB(Cl)Cl,COC(F)(F)C(F)(C)C(F)(F)F,-3.7082401
OCCCl,CCC(C(C)(C)C)=O,-5.58890997
OCCC(O)C,NCNC(C)C,-7.95915077
CCCCN(CCCC)CCCC,FC(F)(F)C(F)(C(F)(F)F)C(C(F)F)=O,-1.78569006
CC(C)CCC(C)(C)C,FC1CCCNC1,-4.54100862
CCCCC#N,ClCc(cc1)ccc1C,-7.77362801
OCC(O)C,FC(F)(F)OCC(F)C(F)(F)F,-2.64146124
CCCCCCCCCC,CN2C(c1ccccc1C2=O)=O,-7.94126598
CC(C)CC(C)(C)C,BrCC(C)Br,-5.24489211
Cc1ccc(C)cc1,FCCC(C)NC,-4.91762379
OCCCCCCCCCCCC,Clc(ccc1O)cc1O,-11.62328229
C(c2ccccc2)c1ccccc1,CCCc(cc1)ccc1C,-6.80827554
O=CN1CCOCC1,CC(C)c(sc1)nc1C,-6.56703911
CCC(C)CC,IC#N,-3.68360938
